"disaster subgroup","disaster subtype","Country iso, Country name",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
Hydrological,Landslide,BOL,Bolivia,1,64,0,0,150000,150000,100000
Hydrological,Landslide,CHN,"China P Rep",1,0,0,0,385,385,0
Hydrological,Landslide,IND,India,1,209,0,0,0,0,0
Hydrological,Landslide,IDN,Indonesia,2,127,1900,0,0,1900,0
Hydrological,Landslide,ITA,Italy,1,1,600,0,0,600,0
Hydrological,Landslide,JPN,Japan,1,82,0,67,0,67,0
Hydrological,Landslide,NPL,Nepal,2,468,184745,149,0,184894,0
Hydrological,Landslide,LKA,"Sri Lanka",1,7,400,0,0,400,0
Hydrological,Landslide,USA,"United States",1,41,0,0,150,150,10000
Hydrological,Landslide,COD,"Zaire/Congo Dem Rep",1,11,0,0,0,0,0
Hydrological,"Riverine flood",ARG,Argentina,1,0,0,0,0,0,62000
Hydrological,"Riverine flood",BGD,Bangladesh,1,59,2800000,447,0,2800447,150000
Hydrological,"Riverine flood",BIH,Bosnia-Hercegovenia,2,25,1000000,0,0,1000000,436580
Hydrological,"Riverine flood",BRA,Brazil,3,45,550600,52,0,550652,0
Hydrological,"Riverine flood",BGR,Bulgaria,4,20,7847,0,0,7847,48000
Hydrological,"Riverine flood",KHM,Cambodia,1,45,57950,0,0,57950,0
Hydrological,"Riverine flood",CMR,Cameroon,1,0,2120,0,1380,3500,0
Hydrological,"Riverine flood",CHN,"China P Rep",9,330,16772700,0,420000,17192700,7267000
Hydrological,"Riverine flood",COL,Colombia,4,77,54214,0,0,54214,0
Hydrological,"Riverine flood",CIV,"Cote d'Ivoire",1,39,0,0,0,0,0
Hydrological,"Riverine flood",HRV,Croatia,1,3,7116,0,0,7116,0
Hydrological,"Riverine flood",FRA,France,3,14,4000,0,0,4000,0
Hydrological,"Riverine flood",GEO,Georgia,1,0,120,0,0,120,0
Hydrological,"Riverine flood",GTM,Guatemala,1,0,0,0,0,0,0
Hydrological,"Riverine flood",HND,Honduras,2,4,23000,0,0,23000,1400
Hydrological,"Riverine flood",HUN,Hungary,1,0,6500,0,0,6500,0
Hydrological,"Riverine flood",IND,India,8,586,4076500,0,650000,4726500,16163000
Hydrological,"Riverine flood",IDN,Indonesia,7,71,431837,0,5250,437087,756000
Hydrological,"Riverine flood",LAO,"Lao P Dem Rep",1,0,750,0,0,750,0
Hydrological,"Riverine flood",MWI,Malawi,1,0,44850,0,0,44850,0
Hydrological,"Riverine flood",MYS,Malaysia,1,17,230000,0,0,230000,284000
Hydrological,"Riverine flood",MAR,Morocco,1,11,0,0,0,0,0
Hydrological,"Riverine flood",MOZ,Mozambique,3,17,143460,76,0,143536,0
Hydrological,"Riverine flood",MMR,Myanmar,2,0,40000,0,0,40000,0
Hydrological,"Riverine flood",NPL,Nepal,2,24,2400,0,0,2400,0
Hydrological,"Riverine flood",NIC,Nicaragua,1,0,60345,0,0,60345,0
Hydrological,"Riverine flood",NER,Niger,1,36,165578,0,0,165578,0
Hydrological,"Riverine flood",NGA,Nigeria,1,15,10000,0,0,10000,0
Hydrological,"Riverine flood",PAK,Pakistan,1,367,2470000,673,0,2470673,2000000
Hydrological,"Riverine flood",PAN,Panama,1,9,116,0,0,116,0
Hydrological,"Riverine flood",PRY,Paraguay,1,0,231360,0,0,231360,0
Hydrological,"Riverine flood",PER,Peru,1,0,6300,0,2700,9000,0
Hydrological,"Riverine flood",PHL,Philippines,1,0,99185,0,0,99185,0
Hydrological,"Riverine flood",ROU,Romania,2,4,525,0,0,525,0
Hydrological,"Riverine flood",RUS,Russia,1,0,22545,0,0,22545,15000
Hydrological,"Riverine flood",SRB,Serbia,2,51,1603000,0,0,1603000,2172355
Hydrological,"Riverine flood",SYC,Seychelles,1,0,4435,0,0,4435,0
Hydrological,"Riverine flood",SVN,Slovenia,1,2,600,0,0,600,0
Hydrological,"Riverine flood",SLB,"Solomon Is",1,47,52000,0,0,52000,24000
Hydrological,"Riverine flood",SOM,Somalia,1,0,21000,0,0,21000,0
Hydrological,"Riverine flood",ZAF,"South Africa",1,32,7185,0,0,7185,85000
Hydrological,"Riverine flood",LKA,"Sri Lanka",2,68,1204000,29,0,1204029,0
Hydrological,"Riverine flood",SDN,Sudan,1,77,260000,227,0,260227,0
Hydrological,"Riverine flood",TZA,"Tanzania Uni Rep",1,28,20000,0,0,20000,0
Hydrological,"Riverine flood",THA,Thailand,3,29,119280,8,0,119288,10000
Hydrological,"Riverine flood",ZMB,Zambia,1,0,0,0,20000,20000,0
Hydrological,"Riverine flood",ZWE,Zimbabwe,1,11,1500,0,0,1500,0
Meteorological,"Cold wave",CAN,Canada,1,0,0,0,0,0,0
Meteorological,"Cold wave",IND,India,2,41,0,0,0,0,0
Meteorological,"Cold wave",POL,Poland,1,17,0,0,0,0,0
Meteorological,"Cold wave",ROU,Romania,1,13,0,0,0,0,0
Meteorological,"Cold wave",THA,Thailand,1,63,1000000,0,0,1000000,0
Meteorological,"Cold wave",USA,"United States",1,21,0,0,0,0,3000000
Meteorological,"Convective storm",AFG,Afghanistan,1,63,0,0,0,0,0
Meteorological,"Convective storm",BGD,Bangladesh,2,20,6250,12,0,6262,0
Meteorological,"Convective storm",BEL,Belgium,1,0,0,0,0,0,0
Meteorological,"Convective storm",CHN,"China P Rep",4,48,625000,90,36255,661345,930000
Meteorological,"Convective storm",COL,Colombia,1,11,0,18,0,18,0
Meteorological,"Convective storm",FRA,France,2,2,0,0,0,0,0
Meteorological,"Convective storm",DEU,Germany,1,6,0,0,0,0,0
Meteorological,"Convective storm",IND,India,2,32,9610,26,0,9636,0
Meteorological,"Convective storm",ITA,Italy,1,5,0,0,0,0,250000
Meteorological,"Convective storm",JPN,Japan,2,48,0,0,0,0,5900000
Meteorological,"Convective storm",KOR,"Korea Rep",1,10,0,101,0,101,11000
Meteorological,"Convective storm",KGZ,Kyrgyzstan,1,0,0,0,0,0,0
Meteorological,"Convective storm",LSO,Lesotho,1,0,0,0,2600,2600,0
Meteorological,"Convective storm",MAR,Morocco,2,38,117000,0,0,117000,450000
Meteorological,"Convective storm",NPL,Nepal,1,43,0,0,0,0,0
Meteorological,"Convective storm",PAK,Pakistan,1,16,0,82,0,82,0
Meteorological,"Convective storm",PRT,Portugal,1,0,50,4,0,54,0
Meteorological,"Convective storm",ESP,Spain,1,3,0,0,0,0,0
Meteorological,"Convective storm",CHE,Switzerland,1,2,0,0,0,0,0
Meteorological,"Convective storm",USA,"United States",10,147,0,250,30,280,7650000
Meteorological,"Extra-tropical s",FRA,France,1,0,0,0,0,0,0
Meteorological,"Extra-tropical s",IRL,Ireland,1,1,0,0,0,0,0
Meteorological,"Extra-tropical s",PRT,Portugal,1,1,0,0,0,0,0
Meteorological,"Extra-tropical s",GBR,"United Kingdom",1,5,18000,0,0,18000,100000
Meteorological,"Heat wave",AUS,Australia,1,0,0,0,0,0,0
Meteorological,"Severe winter co",BLR,Belarus,1,2,30000,1500,0,31500,0
Meteorological,"Severe winter co",SRB,Serbia,1,0,3000,0,0,3000,0
Meteorological,"Severe winter co",SVN,Slovenia,1,1,50000,0,0,50000,0
Meteorological,"Tropical cyclone",CHN,"China P Rep",4,80,10355250,99,0,10355349,7682973
Meteorological,"Tropical cyclone",COM,Comoros,1,0,9511,0,0,9511,0
Meteorological,"Tropical cyclone",GTM,Guatemala,1,5,100000,0,0,100000,0
Meteorological,"Tropical cyclone",IND,India,1,45,920000,0,0,920000,7000000
Meteorological,"Tropical cyclone",JPN,Japan,5,37,36465,256,0,36721,400000
Meteorological,"Tropical cyclone",KOR,"Korea Rep",1,14,0,0,0,0,0
Meteorological,"Tropical cyclone",MDG,Madagascar,1,17,0,0,1736,1736,0
Meteorological,"Tropical cyclone",MEX,Mexico,6,15,69000,135,0,69135,2539500
Meteorological,"Tropical cyclone",PNG,"Papua New Guinea",1,0,12346,0,0,12346,0
Meteorological,"Tropical cyclone",PHL,Philippines,9,304,9978563,1456,0,9980019,290563
Meteorological,"Tropical cyclone",TWN,"Taiwan (China)",2,0,0,0,0,0,420000
Meteorological,"Tropical cyclone",TON,Tonga,1,1,4000,14,0,4014,48000
Meteorological,"Tropical cyclone",USA,"United States",1,1,834,0,0,834,66000
Meteorological,"Tropical cyclone",VUT,Vanuatu,1,12,20000,6,0,20006,0
Meteorological,"Tropical cyclone",VNM,"Viet Nam",3,38,48075,0,0,48075,10425
